seq,t,ts,v
1000015143,2,2017-05-17 00:05:59.200,2517188.5
1000015144,2,2017-05-17 00:20:59.600,2517190.5
1000015145,2,2017-05-17 00:35:59.900,2517190.5
1000015146,2,2017-05-17 00:51:00.000,2517190.5
1000015147,2,2017-05-17 01:06:00.200,2517190.5
1000015148,2,2017-05-17 01:21:00.300,2517190.5
1000015149,2,2017-05-17 01:36:00.300,2517190.5
1000015150,2,2017-05-17 01:51:00.300,2517190.5
1000015151,2,2017-05-17 02:06:00.600,2517190.5
1000015152,2,2017-05-17 02:21:00.900,2517190.5
1000015153,2,2017-05-17 02:36:01.100,2517190.5
1000015154,2,2017-05-17 02:51:01.200,2517190.5
1000015155,2,2017-05-17 03:06:01.200,2517190.5
1000015156,2,2017-05-17 03:21:01.500,2517190.5
1000015157,2,2017-05-17 03:36:01.600,2517190.5
1000015158,2,2017-05-17 03:51:01.700,2517190.5
1000015159,2,2017-05-17 04:06:01.900,2517190.5
1000015160,2,2017-05-17 04:21:02.100,2517190.5
1000015161,2,2017-05-17 04:36:02.100,2517190.5
1000015162,2,2017-05-17 04:51:02.300,2517190.5
1000015163,2,2017-05-17 05:06:02.500,2517190.5
1000015164,2,2017-05-17 05:21:06.600,2517190.5
1000015165,2,2017-05-17 05:36:06.800,2517190.5
1000015166,2,2017-05-17 05:51:07.000,2517190.5
1000015167,2,2017-05-17 06:06:07.100,2517190.5
1000015168,2,2017-05-17 06:21:07.300,2517190.5
1000015169,2,2017-05-17 06:36:07.500,2517190.5
1000015170,2,2017-05-17 06:51:07.500,2517190.5
1000015171,2,2017-05-17 07:06:07.600,2517190.5
1000015172,2,2017-05-17 07:21:07.800,2517190.5
1000015173,2,2017-05-17 07:36:07.800,2517190.5
1000015174,2,2017-05-17 07:51:08.000,2517197.25
1000015175,2,2017-05-17 08:06:08.000,2517203.5
1000015176,2,2017-05-17 08:21:08.200,2517208.0
1000015177,2,2017-05-17 08:36:08.300,2517212.0
1000015178,2,2017-05-17 08:51:08.700,2517217.75
1000015179,2,2017-05-17 09:06:09.000,2517218.0
1000015180,2,2017-05-17 09:21:07.700,2517224.25
1000015181,2,2017-05-17 09:36:07.800,2517240.25
1000015182,2,2017-05-17 09:51:07.800,2517251.0
1000015183,2,2017-05-17 10:06:07.900,2517274.5
1000015184,2,2017-05-17 10:21:09.400,2517288.5
1000015185,2,2017-05-17 10:36:09.500,2517300.0
1000015186,2,2017-05-17 10:51:09.700,2517315.25
1000015187,2,2017-05-17 11:06:10.000,2517322.0
1000015188,2,2017-05-17 11:21:10.400,2517342.5
1000015189,2,2017-05-17 11:36:10.500,2517348.25
1000015190,2,2017-05-17 11:51:10.600,2517370.75
1000015191,2,2017-05-17 12:06:10.500,2517382.5
1000015192,2,2017-05-17 12:21:10.800,2517406.75
1000015193,2,2017-05-17 12:36:10.900,2517428.0
1000015194,2,2017-05-17 12:51:10.900,2517442.25
1000015195,2,2017-05-17 13:06:11.000,2517451.25
1000015196,2,2017-05-17 13:21:10.600,2517469.0
1000015197,2,2017-05-17 13:36:10.700,2517499.5
1000015198,2,2017-05-17 13:51:10.900,2517547.75
1000015199,2,2017-05-17 14:06:11.100,2517568.0
1000015200,2,2017-05-17 14:21:11.200,2517579.0
1000015201,2,2017-05-17 14:36:11.300,2517591.0
1000015202,2,2017-05-17 14:51:11.400,2517617.0
1000015203,2,2017-05-17 15:06:11.500,2517636.0
1000015204,2,2017-05-17 15:21:12.100,2517654.5
1000015205,2,2017-05-17 15:36:12.100,2517660.5
1000015206,2,2017-05-17 15:51:12.100,2517668.25
1000015207,2,2017-05-17 16:06:12.200,2517688.0
1000015208,2,2017-05-17 16:21:12.300,2517706.25
1000015209,2,2017-05-17 16:36:12.300,2517722.25
1000015210,2,2017-05-17 16:51:12.500,2517731.5
1000015211,2,2017-05-17 17:06:12.500,2517744.5
1000015212,2,2017-05-17 17:21:12.700,2517755.5
1000015213,2,2017-05-17 17:36:12.700,2517761.75
1000015214,2,2017-05-17 17:51:12.900,2517768.5
1000015215,2,2017-05-17 18:06:13.100,2517782.25
1000015216,2,2017-05-17 18:21:13.400,2517797.5
1000015217,2,2017-05-17 18:36:13.600,2517802.0
1000015218,2,2017-05-17 18:51:13.700,2517813.5
1000015219,2,2017-05-17 19:06:13.900,2517816.0
1000015220,2,2017-05-17 19:21:13.500,2517820.5
1000015221,2,2017-05-17 19:36:13.600,2517820.75
1000015222,2,2017-05-17 19:51:13.600,2517824.5
1000015223,2,2017-05-17 20:06:13.800,2517830.25
1000015224,2,2017-05-17 20:21:13.900,2517833.75
1000015225,2,2017-05-17 20:36:14.100,2517840.5
1000015226,2,2017-05-17 20:51:14.300,2517846.75
1000015227,2,2017-05-17 21:06:14.300,2517850.0
1000015228,2,2017-05-17 21:21:14.800,2517854.75
1000015229,2,2017-05-17 21:36:15.000,2517859.5
1000015230,2,2017-05-17 21:51:15.200,2517868.75
1000015231,2,2017-05-17 22:06:15.400,2517884.25
1000015232,2,2017-05-17 22:21:16.000,2517885.75
1000015233,2,2017-05-17 22:36:16.300,2517887.75
1000015234,2,2017-05-17 22:51:16.300,2517893.0
1000015235,2,2017-05-17 23:06:16.200,2517898.0
1000015236,2,2017-05-17 23:21:15.800,2517902.75
1000015237,2,2017-05-17 23:36:15.900,2517905.25
1000015238,2,2017-05-17 23:51:16.200,2517905.25
1000015239,2,2017-05-18 00:06:16.300,2517905.25
1000015240,2,2017-05-18 00:21:16.500,2517905.25
1000015241,2,2017-05-18 00:36:16.600,2517905.5
1000015242,2,2017-05-18 00:51:16.700,2517906.75
1000015243,2,2017-05-18 01:06:17.000,2517910.75
1000015244,2,2017-05-18 01:21:17.000,2517918.0
1000015245,2,2017-05-18 01:36:17.300,2517918.0
1000015246,2,2017-05-18 01:51:17.600,2517918.0
1000015247,2,2017-05-18 02:06:17.800,2517918.0
1000015248,2,2017-05-18 02:21:18.300,2517918.0
1000015249,2,2017-05-18 02:36:18.200,2517918.0
1000015250,2,2017-05-18 02:51:18.400,2517918.0
1000015251,2,2017-05-18 03:06:18.500,2517918.0
1000015252,2,2017-05-18 03:21:18.800,2517918.0
1000015253,2,2017-05-18 03:36:19.000,2517918.0
1000015254,2,2017-05-18 03:51:19.300,2517918.0
1000015255,2,2017-05-18 04:06:19.600,2517918.0
1000015256,2,2017-05-18 04:21:19.300,2517918.0
1000015257,2,2017-05-18 04:36:19.500,2517918.0
1000015258,2,2017-05-18 04:51:19.700,2517918.0
1000015259,2,2017-05-18 05:06:20.000,2517918.0
1000015260,2,2017-05-18 05:21:20.100,2517918.0
1000015261,2,2017-05-18 05:36:20.400,2517918.0
1000015262,2,2017-05-18 05:51:20.400,2517918.0
1000015263,2,2017-05-18 06:06:20.700,2517918.0
1000015264,2,2017-05-18 06:21:20.900,2517918.0
1000015265,2,2017-05-18 06:36:21.200,2517918.0
1000015266,2,2017-05-18 06:51:21.200,2517918.0
1000015267,2,2017-05-18 07:06:21.200,2517918.0
1000015268,2,2017-05-18 07:21:21.700,2517918.0
1000015269,2,2017-05-18 07:36:21.800,2517936.5
1000015270,2,2017-05-18 07:51:22.100,2517937.25
1000015271,2,2017-05-18 08:06:22.300,2517937.75
1000015272,2,2017-05-18 08:21:22.100,2517940.75
1000015273,2,2017-05-18 08:36:22.300,2517947.0
1000015274,2,2017-05-18 08:51:22.400,2517951.0
1000015275,2,2017-05-18 09:06:22.300,2517951.25
1000015276,2,2017-05-18 09:21:22.400,2517956.5
1000015277,2,2017-05-18 09:36:22.400,2517971.25
1000015278,2,2017-05-18 09:51:22.400,2517978.25
1000015279,2,2017-05-18 10:06:22.500,2517996.25
1000015280,2,2017-05-18 10:21:18.800,2518000.5
1000015281,2,2017-05-18 10:36:18.900,2518009.75
1000015282,2,2017-05-18 10:51:19.200,2518025.75
1000015283,2,2017-05-18 11:06:19.500,2518036.25
1000015284,2,2017-05-18 11:21:24.000,2518053.0
1000015285,2,2017-05-18 11:36:24.300,2518065.75
1000015286,2,2017-05-18 11:51:24.500,2518076.75
1000015287,2,2017-05-18 12:06:24.600,2518090.0
1000015288,2,2017-05-18 12:21:25.000,2518100.75
1000015289,2,2017-05-18 12:36:25.100,2518117.0
1000015290,2,2017-05-18 12:51:25.100,2518125.5
1000015291,2,2017-05-18 13:06:25.100,2518140.5
1000015292,2,2017-05-18 13:21:25.200,2518162.0
1000015293,2,2017-05-18 13:36:25.300,2518167.0
1000015294,2,2017-05-18 13:51:25.500,2518184.75
1000015295,2,2017-05-18 14:06:25.500,2518213.5
1000015296,2,2017-05-18 14:21:25.200,2518240.0
1000015297,2,2017-05-18 14:36:25.100,2518257.5
1000015298,2,2017-05-18 14:51:25.300,2518283.5
1000015299,2,2017-05-18 15:06:25.600,2518310.5
1000015300,2,2017-05-18 15:21:26.300,2518340.25
1000015301,2,2017-05-18 15:36:26.500,2518359.25
1000015302,2,2017-05-18 15:51:26.800,2518374.75
1000015303,2,2017-05-18 16:06:27.000,2518402.25
1000015304,2,2017-05-18 16:21:26.700,2518410.5
1000015305,2,2017-05-18 16:36:26.700,2518415.0
1000015306,2,2017-05-18 16:51:26.700,2518420.25
1000015307,2,2017-05-18 17:06:26.900,2518423.75
1000015308,2,2017-05-18 17:21:26.200,2518435.0
1000015309,2,2017-05-18 17:36:26.400,2518446.0
1000015310,2,2017-05-18 17:51:26.600,2518466.5
1000015311,2,2017-05-18 18:06:26.700,2518476.75
1000015312,2,2017-05-18 18:21:28.400,2518487.0
1000015313,2,2017-05-18 18:36:28.600,2518499.0
1000015314,2,2017-05-18 18:51:29.000,2518505.25
1000015315,2,2017-05-18 19:06:29.100,2518508.75
1000015316,2,2017-05-18 19:21:28.800,2518511.0
1000015317,2,2017-05-18 19:36:28.900,2518541.25
1000015318,2,2017-05-18 19:51:29.000,2518546.5
1000015319,2,2017-05-18 20:06:29.200,2518552.0
1000015320,2,2017-05-18 20:21:29.800,2518552.25
1000015321,2,2017-05-18 20:36:30.000,2518554.25
1000015322,2,2017-05-18 20:51:30.100,2518563.5
1000015323,2,2017-05-18 21:06:30.300,2518569.25
1000015324,2,2017-05-18 21:21:30.000,2518571.5
1000015325,2,2017-05-18 21:36:30.300,2518573.25
