seq,t,ts,v
1000044624,2,2017-05-17 00:00:00.100,46940934140.0
1000044625,2,2017-05-17 00:05:00.000,46941032450.0
1000044626,2,2017-05-17 00:10:00.100,46941126660.0
1000044627,2,2017-05-17 00:15:00.200,46941224960.0
1000044628,2,2017-05-17 00:20:00.200,46941319170.0
1000044629,2,2017-05-17 00:25:00.100,46941417470.0
1000044630,2,2017-05-17 00:30:00.100,46941511680.0
1000044631,2,2017-05-17 00:35:00.000,46941609980.0
1000044632,2,2017-05-17 00:40:00.000,46941704190.0
1000044633,2,2017-05-17 00:45:00.300,46941802500.0
1000044634,2,2017-05-17 00:50:00.200,46941896700.0
1000044635,2,2017-05-17 00:55:00.000,46941995010.0
1000044636,2,2017-05-17 01:00:00.000,46942089220.0
1000044637,2,2017-05-17 01:05:00.100,46942187520.0
1000044638,2,2017-05-17 01:10:00.100,46942281730.0
1000044639,2,2017-05-17 01:15:00.100,46942380030.0
1000044640,2,2017-05-17 01:20:00.100,46942474240.0
1000044641,2,2017-05-17 01:25:00.200,46942572540.0
1000044642,2,2017-05-17 01:30:00.100,46942666750.0
1000044643,2,2017-05-17 01:35:00.000,46942765060.0
1000044644,2,2017-05-17 01:40:00.100,46942859260.0
1000044645,2,2017-05-17 01:45:00.200,46942957570.0
1000044646,2,2017-05-17 01:50:00.000,46943051780.0
1000044647,2,2017-05-17 01:55:00.000,46943150080.0
1000044648,2,2017-05-17 02:00:00.200,46943244290.0
1000044649,2,2017-05-17 02:05:00.100,46943342590.0
1000044650,2,2017-05-17 02:10:00.000,46943436800.0
1000044651,2,2017-05-17 02:15:00.000,46943535100.0
1000044652,2,2017-05-17 02:20:00.100,46943629310.0
1000044653,2,2017-05-17 02:25:00.200,46943723520.0
1000044654,2,2017-05-17 02:30:00.000,46943821820.0
1000044655,2,2017-05-17 02:35:00.000,46943916030.0
1000044656,2,2017-05-17 02:40:00.200,46944014340.0
1000044657,2,2017-05-17 02:45:00.100,46944108540.0
1000044658,2,2017-05-17 02:50:00.000,46944206850.0
1000044659,2,2017-05-17 02:55:00.100,46944301060.0
1000044660,2,2017-05-17 03:00:00.000,46944399360.0
1000044661,2,2017-05-17 03:05:00.100,46944493570.0
1000044662,2,2017-05-17 03:10:00.200,46944591870.0
1000044663,2,2017-05-17 03:15:00.200,46944686080.0
