seq,t,ts,v
1000014940,2,2017-05-17 00:00:00.100,97274312.0
1000014941,2,2017-05-17 00:15:00.200,97274912.0
1000014942,2,2017-05-17 00:30:00.100,97275512.0
1000014943,2,2017-05-17 00:45:00.200,97276112.0
1000014944,2,2017-05-17 01:00:00.000,97276712.0
1000014945,2,2017-05-17 01:15:00.100,97277312.0
1000014946,2,2017-05-17 01:30:00.100,97277912.0
1000014947,2,2017-05-17 01:45:00.200,97278512.0
1000014948,2,2017-05-17 02:00:00.200,97279112.0
1000014949,2,2017-05-17 02:15:00.000,97279712.0
1000014950,2,2017-05-17 02:30:00.000,97280312.0
1000014951,2,2017-05-17 02:45:00.100,97280912.0
1000014952,2,2017-05-17 03:00:00.000,97281512.0
1000014953,2,2017-05-17 03:15:00.200,97282112.0
1000014954,2,2017-05-17 03:30:00.100,97282712.0
1000014955,2,2017-05-17 03:45:00.200,97283312.0
1000014956,2,2017-05-17 04:00:00.100,97283912.0
1000014957,2,2017-05-17 04:15:00.200,97284512.0
1000014958,2,2017-05-17 04:30:00.200,97285112.0
1000014959,2,2017-05-17 04:45:00.100,97285712.0
1000014960,2,2017-05-17 05:00:00.200,97286312.0
1000014961,2,2017-05-17 05:15:00.100,97286904.0
1000014962,2,2017-05-17 05:30:00.000,97287504.0
1000014963,2,2017-05-17 05:45:00.000,97288104.0
1000014964,2,2017-05-17 06:00:00.100,97288704.0
1000014965,2,2017-05-17 06:15:00.000,97289304.0
1000014966,2,2017-05-17 06:30:00.100,97289904.0
1000014967,2,2017-05-17 06:45:00.000,97290504.0
1000014968,2,2017-05-17 07:00:00.100,97291104.0
1000014969,2,2017-05-17 07:15:00.100,97291704.0
1000014970,2,2017-05-17 07:30:00.200,97292304.0
1000014971,2,2017-05-17 07:45:00.000,97292904.0
1000014972,2,2017-05-17 08:00:00.000,97293504.0
1000014973,2,2017-05-17 08:15:00.100,97294104.0
1000014974,2,2017-05-17 08:30:00.200,97294704.0
1000014975,2,2017-05-17 08:45:00.000,97295304.0
1000014976,2,2017-05-17 09:00:00.100,97295904.0
1000014977,2,2017-05-17 09:15:00.100,97296504.0
1000014978,2,2017-05-17 09:30:00.200,97297104.0
1000014979,2,2017-05-17 09:45:00.100,97297704.0
1000014980,2,2017-05-17 10:00:00.200,97298304.0
1000014981,2,2017-05-17 10:15:00.200,97298904.0
1000014982,2,2017-05-17 10:30:00.100,97299504.0
1000014983,2,2017-05-17 10:45:00.100,97300104.0
1000014984,2,2017-05-17 11:00:00.100,97300704.0
1000014985,2,2017-05-17 11:15:00.100,97301304.0
1000014986,2,2017-05-17 11:30:00.200,97301904.0
1000014987,2,2017-05-17 11:45:00.200,97302504.0
1000014988,2,2017-05-17 12:00:00.100,97303104.0
