seq,t,ts,v
1000050503,2,2017-05-17 00:00:00.000,0.120713
1000050504,2,2017-05-17 00:05:00.000,0.110623
1000050505,2,2017-05-17 00:10:00.000,0.108877
1000050506,2,2017-05-17 00:15:00.200,0.11036
1000050507,2,2017-05-17 00:20:00.100,0.102053
1000050508,2,2017-05-17 00:25:00.200,0.116138
1000050509,2,2017-05-17 00:30:00.200,0.364369
1000050510,2,2017-05-17 00:35:00.000,0.11528
1000050511,2,2017-05-17 00:40:00.000,0.0964837
1000050512,2,2017-05-17 00:45:00.000,0.125622
1000050513,2,2017-05-17 00:50:00.200,0.113366
1000050514,2,2017-05-17 00:55:00.300,0.119997
1000050515,2,2017-05-17 01:00:00.200,0.10118
1000050516,2,2017-05-17 01:05:00.000,0.116934
1000050517,2,2017-05-17 01:10:00.000,0.116755
1000050518,2,2017-05-17 01:15:00.000,0.0999501
1000050519,2,2017-05-17 01:20:00.200,0.113302
1000050520,2,2017-05-17 01:25:00.000,0.113913
1000050521,2,2017-05-17 01:30:00.200,0.112198
1000050522,2,2017-05-17 01:35:00.000,0.114841
1000050523,2,2017-05-17 01:40:00.100,0.125352
1000050524,2,2017-05-17 01:45:00.100,0.105037
1000050525,2,2017-05-17 01:50:00.100,0.119956
1000050526,2,2017-05-17 01:55:00.100,0.10286
1000050527,2,2017-05-17 02:00:00.200,0.112396
1000050528,2,2017-05-17 02:05:00.100,0.116947
1000050529,2,2017-05-17 02:10:00.100,0.115395
1000050530,2,2017-05-17 02:15:00.100,0.117365
1000050531,2,2017-05-17 02:20:00.000,0.113401
1000050532,2,2017-05-17 02:25:00.300,0.110879
1000050533,2,2017-05-17 02:30:00.100,0.107667
1000050534,2,2017-05-17 02:35:00.100,0.117103
1000050535,2,2017-05-17 02:40:00.200,0.117764
1000050536,2,2017-05-17 02:45:00.000,0.12072
1000050537,2,2017-05-17 02:50:00.200,0.130008
1000050538,2,2017-05-17 02:55:00.000,0.119248
1000050539,2,2017-05-17 03:00:00.200,0.116375
1000050540,2,2017-05-17 03:05:00.000,0.112805
1000050541,2,2017-05-17 03:10:00.200,0.116541
1000050542,2,2017-05-17 03:15:00.100,0.109333
