seq,t,ts,v
1000014940,2,2017-05-17 00:00:00.200,105953768.0
1000014941,2,2017-05-17 00:15:00.100,105953768.0
1000014942,2,2017-05-17 00:30:00.100,105953768.0
1000014943,2,2017-05-17 00:45:00.200,105953768.0
1000014944,2,2017-05-17 01:00:00.200,105953768.0
1000014945,2,2017-05-17 01:15:00.000,105953768.0
1000014946,2,2017-05-17 01:30:00.300,105953768.0
1000014947,2,2017-05-17 01:45:00.400,105953768.0
1000014948,2,2017-05-17 02:00:00.100,105953768.0
1000014949,2,2017-05-17 02:15:00.200,105953768.0
1000014950,2,2017-05-17 02:30:00.100,105953768.0
1000014951,2,2017-05-17 02:45:00.300,105953768.0
1000014952,2,2017-05-17 03:00:00.000,105953768.0
1000014953,2,2017-05-17 03:15:00.300,105953768.0
1000014954,2,2017-05-17 03:30:00.100,105953768.0
1000014955,2,2017-05-17 03:45:00.300,105953768.0
1000014956,2,2017-05-17 04:00:00.300,105953768.0
1000014957,2,2017-05-17 04:15:00.200,105953768.0
1000014958,2,2017-05-17 04:30:00.400,105953768.0
1000014959,2,2017-05-17 04:45:00.100,105953768.0
1000014960,2,2017-05-17 05:00:00.000,105953768.0
1000014961,2,2017-05-17 05:15:00.400,105953768.0
1000014962,2,2017-05-17 05:30:00.400,105953768.0
1000014963,2,2017-05-17 05:45:00.100,105953768.0
1000014964,2,2017-05-17 06:00:00.200,105953768.0
1000014965,2,2017-05-17 06:15:00.400,105953768.0
1000014966,2,2017-05-17 06:30:00.100,105953768.0
1000014967,2,2017-05-17 06:45:00.200,105953768.0
1000014968,2,2017-05-17 07:00:00.400,105953768.0
1000014969,2,2017-05-17 07:15:00.100,105953768.0
1000014970,2,2017-05-17 07:30:00.300,105953768.0
1000014971,2,2017-05-17 07:45:00.100,105953768.0
1000014972,2,2017-05-17 08:00:00.400,105953768.0
1000014973,2,2017-05-17 08:15:00.300,105953768.0
1000014974,2,2017-05-17 08:30:00.300,105953768.0
1000014975,2,2017-05-17 08:45:00.000,105953768.0
1000014976,2,2017-05-17 09:00:00.000,105953768.0
1000014977,2,2017-05-17 09:15:00.400,105953768.0
1000014978,2,2017-05-17 09:30:00.300,105953768.0
1000014979,2,2017-05-17 09:45:00.400,105953768.0
1000014980,2,2017-05-17 10:00:00.100,105953768.0
1000014981,2,2017-05-17 10:15:00.400,105953768.0
1000014982,2,2017-05-17 10:30:00.300,105953768.0
1000014983,2,2017-05-17 10:45:00.200,105953768.0
1000014984,2,2017-05-17 11:00:00.000,105953768.0
1000014985,2,2017-05-17 11:15:00.300,105953768.0
1000014986,2,2017-05-17 11:30:00.100,105953768.0
1000014987,2,2017-05-17 11:45:00.500,105953768.0
1000014988,2,2017-05-17 12:00:00.100,105953768.0
1000014989,2,2017-05-17 12:15:00.400,105953768.0
1000014990,2,2017-05-17 12:30:00.100,105953768.0
1000014991,2,2017-05-17 12:45:00.300,105953768.0
1000014992,2,2017-05-17 13:00:00.100,105953768.0
1000014993,2,2017-05-17 13:15:00.300,105953768.0
1000014994,2,2017-05-17 13:30:00.300,105953768.0
1000014995,2,2017-05-17 13:45:00.300,105953768.0
1000014996,2,2017-05-17 14:00:00.400,105953768.0
1000014997,2,2017-05-17 14:15:00.300,105953768.0
1000014998,2,2017-05-17 14:30:00.300,105953768.0
1000014999,2,2017-05-17 14:45:00.000,105953768.0
1000015000,2,2017-05-17 15:00:00.300,105953768.0
1000015001,2,2017-05-17 15:15:00.300,105953768.0
1000015002,2,2017-05-17 15:30:00.200,105953768.0
1000015003,2,2017-05-17 15:45:00.200,105953768.0
1000015004,2,2017-05-17 16:00:00.400,105953768.0
1000015005,2,2017-05-17 16:15:00.300,105953768.0
1000015006,2,2017-05-17 16:30:00.000,105953768.0
1000015007,2,2017-05-17 16:45:00.000,105953768.0
1000015008,2,2017-05-17 17:00:00.100,105953768.0
1000015009,2,2017-05-17 17:15:00.300,105953768.0
1000015010,2,2017-05-17 17:30:00.300,105953768.0
1000015011,2,2017-05-17 17:45:00.200,105953768.0
1000015012,2,2017-05-17 18:00:00.400,105953768.0
1000015013,2,2017-05-17 18:15:00.300,105953768.0
1000015014,2,2017-05-17 18:30:00.000,105953768.0
1000015015,2,2017-05-17 18:45:00.100,105953768.0
1000015016,2,2017-05-17 19:00:00.000,105953768.0
1000015017,2,2017-05-17 19:15:00.200,105953768.0
1000015018,2,2017-05-17 19:30:00.200,105953768.0
1000015019,2,2017-05-17 19:45:00.000,105953768.0
1000015020,2,2017-05-17 20:00:00.300,105953768.0
1000015021,2,2017-05-17 20:15:00.400,105953768.0
1000015022,2,2017-05-17 20:30:00.400,105953768.0
1000015023,2,2017-05-17 20:45:00.000,105953768.0
1000015024,2,2017-05-17 21:00:00.200,105953768.0
1000015025,2,2017-05-17 21:15:00.100,105953768.0
1000015026,2,2017-05-17 21:30:00.000,105953768.0
1000015027,2,2017-05-17 21:45:00.400,105953768.0
1000015028,2,2017-05-17 22:00:00.400,105953768.0
1000015029,2,2017-05-17 22:15:00.300,105953768.0
1000015030,2,2017-05-17 22:30:00.100,105953768.0
1000015031,2,2017-05-17 22:45:00.000,105953768.0
1000015032,2,2017-05-17 23:00:00.200,105953768.0
1000015033,2,2017-05-17 23:15:00.300,105953768.0
1000015034,2,2017-05-17 23:30:00.200,105953768.0
1000015035,2,2017-05-17 23:45:00.400,105953768.0
1000015036,2,2017-05-18 00:00:00.100,105953768.0
1000015037,2,2017-05-18 00:15:00.300,105953768.0
1000015038,2,2017-05-18 00:30:00.400,105953768.0
1000015039,2,2017-05-18 00:45:00.300,105953768.0
1000015040,2,2017-05-18 01:00:00.100,105953768.0
1000015041,2,2017-05-18 01:15:00.300,105953768.0
1000015042,2,2017-05-18 01:30:00.200,105953768.0
1000015043,2,2017-05-18 01:45:00.400,105953768.0
1000015044,2,2017-05-18 02:00:00.200,105953768.0
1000015045,2,2017-05-18 02:15:00.000,105953768.0
1000015046,2,2017-05-18 02:30:00.300,105953768.0
1000015047,2,2017-05-18 02:45:00.300,105953768.0
1000015048,2,2017-05-18 03:00:00.000,105953768.0
1000015049,2,2017-05-18 03:15:00.000,105953768.0
1000015050,2,2017-05-18 03:30:00.400,105953768.0
1000015051,2,2017-05-18 03:45:00.400,105953768.0
1000015052,2,2017-05-18 04:00:00.300,105953768.0
1000015053,2,2017-05-18 04:15:00.400,105953768.0
1000015054,2,2017-05-18 04:30:00.400,105953768.0
1000015055,2,2017-05-18 04:45:00.400,105953768.0
1000015056,2,2017-05-18 05:00:00.200,105953768.0
1000015057,2,2017-05-18 05:15:00.400,105953768.0
1000015058,2,2017-05-18 05:30:00.300,105953768.0
1000015059,2,2017-05-18 05:45:00.100,105953768.0
1000015060,2,2017-05-18 06:00:00.400,105953768.0
1000015061,2,2017-05-18 06:15:00.400,105953768.0
1000015062,2,2017-05-18 06:30:00.300,105953768.0
1000015063,2,2017-05-18 06:45:00.000,105953768.0
1000015064,2,2017-05-18 07:00:00.500,105953768.0
1000015065,2,2017-05-18 07:15:00.400,105953768.0
1000015066,2,2017-05-18 07:30:00.300,105953768.0
1000015067,2,2017-05-18 07:45:00.200,105953768.0
1000015068,2,2017-05-18 08:00:00.000,105953768.0
1000015069,2,2017-05-18 08:15:00.400,105953768.0
1000015070,2,2017-05-18 08:30:00.300,105953768.0
1000015071,2,2017-05-18 08:45:00.100,105953768.0
1000015072,2,2017-05-18 09:00:00.000,105953768.0
1000015073,2,2017-05-18 09:15:00.400,105953768.0
1000015074,2,2017-05-18 09:30:00.100,105953768.0
1000015075,2,2017-05-18 09:45:00.100,105953768.0
1000015076,2,2017-05-18 10:00:00.100,105953768.0
1000015077,2,2017-05-18 10:15:00.200,105953768.0
1000015078,2,2017-05-18 10:30:00.100,105953768.0
1000015079,2,2017-05-18 10:45:00.300,105953768.0
1000015080,2,2017-05-18 11:00:00.400,105953768.0
1000015081,2,2017-05-18 11:15:00.100,105953768.0
1000015082,2,2017-05-18 11:30:00.400,105953768.0
1000015083,2,2017-05-18 11:45:00.200,105953768.0
1000015084,2,2017-05-18 12:00:00.200,105953768.0
1000015085,2,2017-05-18 12:15:00.100,105953768.0
1000015086,2,2017-05-18 12:30:00.300,105953768.0
1000015087,2,2017-05-18 12:45:00.400,105953768.0
1000015088,2,2017-05-18 13:00:00.000,105953768.0
1000015089,2,2017-05-18 13:15:00.100,105953768.0
1000015090,2,2017-05-18 13:30:00.400,105953768.0
1000015091,2,2017-05-18 13:45:00.400,105953768.0
1000015092,2,2017-05-18 14:00:00.300,105953768.0
1000015093,2,2017-05-18 14:15:00.000,105953768.0
1000015094,2,2017-05-18 14:30:00.400,105953768.0
1000015095,2,2017-05-18 14:45:00.200,105953768.0
1000015096,2,2017-05-18 15:00:00.000,105953768.0
1000015097,2,2017-05-18 15:15:00.400,105953768.0
1000015098,2,2017-05-18 15:30:00.200,105953768.0
1000015099,2,2017-05-18 15:45:00.300,105953768.0
