seq,t,ts,v
1000022318,2,2017-05-17 00:03:02.400,1354075.0
1000022319,2,2017-05-17 00:13:02.700,1354083.0
1000022320,2,2017-05-17 00:23:02.900,1354089.75
1000022321,2,2017-05-17 00:33:03.000,1354092.625
1000022322,2,2017-05-17 00:43:03.300,1354092.625
1000022323,2,2017-05-17 00:53:03.400,1354092.625
1000022324,2,2017-05-17 01:03:03.500,1354092.625
1000022325,2,2017-05-17 01:13:03.800,1354100.375
1000022326,2,2017-05-17 01:23:03.800,1354107.125
1000022327,2,2017-05-17 01:33:03.900,1354111.125
1000022328,2,2017-05-17 01:43:04.200,1354111.125
1000022329,2,2017-05-17 01:53:04.300,1354111.125
1000022330,2,2017-05-17 02:03:04.600,1354111.125
1000022331,2,2017-05-17 02:13:04.700,1354116.875
1000022332,2,2017-05-17 02:23:05.000,1354123.625
1000022333,2,2017-05-17 02:33:05.200,1354130.375
1000022334,2,2017-05-17 02:43:05.200,1354131.375
1000022335,2,2017-05-17 02:53:05.500,1354131.375
1000022336,2,2017-05-17 03:03:05.500,1354131.375
1000022337,2,2017-05-17 03:13:05.800,1354132.375
1000022338,2,2017-05-17 03:23:06.000,1354140.375
1000022339,2,2017-05-17 03:33:06.100,1354147.125
1000022340,2,2017-05-17 03:43:06.200,1354152.375
1000022341,2,2017-05-17 03:53:06.300,1354152.375
1000022342,2,2017-05-17 04:03:06.600,1354152.375
1000022343,2,2017-05-17 04:13:06.900,1354152.375
1000022344,2,2017-05-17 04:23:07.100,1354156.625
1000022345,2,2017-05-17 04:33:07.300,1354163.25
1000022346,2,2017-05-17 04:43:07.500,1354170.0
1000022347,2,2017-05-17 04:53:07.500,1354175.375
1000022348,2,2017-05-17 05:03:07.600,1354175.375
1000022349,2,2017-05-17 05:13:11.700,1354175.375
1000022350,2,2017-05-17 05:23:12.000,1354175.375
1000022351,2,2017-05-17 05:33:12.100,1354179.75
1000022352,2,2017-05-17 05:43:12.300,1354186.375
1000022353,2,2017-05-17 05:53:12.500,1354193.25
1000022354,2,2017-05-17 06:03:12.600,1354200.0
1000022355,2,2017-05-17 06:13:12.700,1354206.75
1000022356,2,2017-05-17 06:23:12.700,1354213.5
1000022357,2,2017-05-17 06:33:12.700,1354220.375
1000022358,2,2017-05-17 06:43:12.700,1354227.25
1000022359,2,2017-05-17 06:53:12.700,1354234.0
1000022360,2,2017-05-17 07:03:13.000,1354240.875
1000022361,2,2017-05-17 07:13:13.300,1354247.625
