seq,t,ts,v
1000015143,2,2017-05-17 00:05:59.900,52614652.0
1000015144,2,2017-05-17 00:21:00.000,52615072.0
1000015145,2,2017-05-17 00:36:00.200,52615280.0
1000015146,2,2017-05-17 00:51:00.400,52615284.0
1000015147,2,2017-05-17 01:06:00.600,52615328.0
1000015148,2,2017-05-17 01:21:00.700,52615748.0
1000015149,2,2017-05-17 01:36:00.700,52616012.0
1000015150,2,2017-05-17 01:51:00.700,52616016.0
1000015151,2,2017-05-17 02:06:01.000,52616016.0
1000015152,2,2017-05-17 02:21:01.300,52616424.0
1000015153,2,2017-05-17 02:36:01.400,52616844.0
1000015154,2,2017-05-17 02:51:01.500,52616860.0
1000015155,2,2017-05-17 03:06:01.600,52616860.0
1000015156,2,2017-05-17 03:21:01.800,52617100.0
1000015157,2,2017-05-17 03:36:02.000,52617520.0
1000015158,2,2017-05-17 03:51:02.100,52617704.0
1000015159,2,2017-05-17 04:06:02.200,52617704.0
1000015160,2,2017-05-17 04:21:02.400,52617776.0
1000015161,2,2017-05-17 04:36:02.400,52618196.0
1000015162,2,2017-05-17 04:51:02.600,52618616.0
1000015163,2,2017-05-17 05:06:02.900,52618656.0
1000015164,2,2017-05-17 05:21:06.900,52618656.0
1000015165,2,2017-05-17 05:36:07.200,52618872.0
1000015166,2,2017-05-17 05:51:07.400,52619292.0
1000015167,2,2017-05-17 06:06:07.500,52619708.0
1000015168,2,2017-05-17 06:21:07.700,52620128.0
1000015169,2,2017-05-17 06:36:07.900,52620544.0
1000015170,2,2017-05-17 06:51:07.900,52620964.0
1000015171,2,2017-05-17 07:06:08.000,52621380.0
1000015172,2,2017-05-17 07:21:08.100,52621796.0
1000015173,2,2017-05-17 07:36:08.200,52622212.0
1000015174,2,2017-05-17 07:51:08.400,52622628.0
1000015175,2,2017-05-17 08:06:08.400,52623044.0
1000015176,2,2017-05-17 08:21:08.600,52623460.0
1000015177,2,2017-05-17 08:36:08.700,52623876.0
1000015178,2,2017-05-17 08:51:09.000,52624292.0
1000015179,2,2017-05-17 09:06:09.400,52624708.0
1000015180,2,2017-05-17 09:21:08.100,52625124.0
1000015181,2,2017-05-17 09:36:08.200,52625540.0
1000015182,2,2017-05-17 09:51:08.200,52625956.0
1000015183,2,2017-05-17 10:06:08.300,52626372.0
1000015184,2,2017-05-17 10:21:09.700,52626788.0
1000015185,2,2017-05-17 10:36:09.900,52627200.0
1000015186,2,2017-05-17 10:51:10.100,52627616.0
1000015187,2,2017-05-17 11:06:10.400,52628028.0
1000015188,2,2017-05-17 11:21:10.800,52628440.0
1000015189,2,2017-05-17 11:36:10.800,52628856.0
1000015190,2,2017-05-17 11:51:11.000,52629268.0
1000015191,2,2017-05-17 12:06:11.300,52629680.0
1000015192,2,2017-05-17 12:21:11.600,52630096.0
1000015193,2,2017-05-17 12:36:11.600,52630508.0
1000015194,2,2017-05-17 12:51:11.600,52630920.0
1000015195,2,2017-05-17 13:06:11.800,52631332.0
1000015196,2,2017-05-17 13:21:11.700,52631748.0
1000015197,2,2017-05-17 13:36:11.700,52632160.0
1000015198,2,2017-05-17 13:51:12.100,52632572.0
1000015199,2,2017-05-17 14:06:12.200,52632988.0
1000015200,2,2017-05-17 14:21:12.300,52633400.0
1000015201,2,2017-05-17 14:36:12.400,52633816.0
1000015202,2,2017-05-17 14:51:12.600,52634228.0
1000015203,2,2017-05-17 15:06:12.600,52634640.0
1000015204,2,2017-05-17 15:21:13.200,52635052.0
1000015205,2,2017-05-17 15:36:13.200,52635464.0
1000015206,2,2017-05-17 15:51:13.300,52635876.0
1000015207,2,2017-05-17 16:06:13.300,52636292.0
1000015208,2,2017-05-17 16:21:13.500,52636704.0
1000015209,2,2017-05-17 16:36:13.700,52637116.0
1000015210,2,2017-05-17 16:51:14.000,52637528.0
1000015211,2,2017-05-17 17:06:14.000,52637944.0
1000015212,2,2017-05-17 17:21:14.100,52638356.0
1000015213,2,2017-05-17 17:36:14.300,52638768.0
1000015214,2,2017-05-17 17:51:14.400,52639184.0
1000015215,2,2017-05-17 18:06:14.600,52639596.0
1000015216,2,2017-05-17 18:21:14.900,52640008.0
1000015217,2,2017-05-17 18:36:15.100,52640420.0
1000015218,2,2017-05-17 18:51:15.400,52640832.0
1000015219,2,2017-05-17 19:06:15.700,52641248.0
1000015220,2,2017-05-17 19:21:15.300,52641660.0
1000015221,2,2017-05-17 19:36:15.400,52642072.0
1000015222,2,2017-05-17 19:51:15.500,52642484.0
1000015223,2,2017-05-17 20:06:15.600,52642900.0
1000015224,2,2017-05-17 20:21:15.700,52643312.0
1000015225,2,2017-05-17 20:36:15.900,52643724.0
1000015226,2,2017-05-17 20:51:16.100,52644140.0
1000015227,2,2017-05-17 21:06:16.100,52644552.0
1000015228,2,2017-05-17 21:21:16.700,52644964.0
1000015229,2,2017-05-17 21:36:16.900,52645376.0
1000015230,2,2017-05-17 21:51:17.100,52645788.0
1000015231,2,2017-05-17 22:06:17.000,52646204.0
1000015232,2,2017-05-17 22:21:17.600,52646616.0
1000015233,2,2017-05-17 22:36:17.800,52647032.0
1000015234,2,2017-05-17 22:51:17.800,52647444.0
1000015235,2,2017-05-17 23:06:18.200,52647860.0
1000015236,2,2017-05-17 23:21:17.600,52648276.0
1000015237,2,2017-05-17 23:36:17.900,52648688.0
1000015238,2,2017-05-17 23:51:18.100,52649104.0
1000015239,2,2017-05-18 00:06:18.200,52649516.0
1000015240,2,2017-05-18 00:21:18.300,52649932.0
1000015241,2,2017-05-18 00:36:18.600,52650348.0
1000015242,2,2017-05-18 00:51:18.900,52650760.0
1000015243,2,2017-05-18 01:06:19.000,52651176.0
1000015244,2,2017-05-18 01:21:18.900,52651592.0
1000015245,2,2017-05-18 01:36:18.900,52652004.0
1000015246,2,2017-05-18 01:51:19.000,52652420.0
1000015247,2,2017-05-18 02:06:19.200,52652832.0
1000015248,2,2017-05-18 02:21:19.700,52653248.0
1000015249,2,2017-05-18 02:36:20.000,52653664.0
1000015250,2,2017-05-18 02:51:20.200,52654080.0
1000015251,2,2017-05-18 03:06:20.400,52654496.0
1000015252,2,2017-05-18 03:21:20.600,52654912.0
1000015253,2,2017-05-18 03:36:21.300,52655328.0
1000015254,2,2017-05-18 03:51:21.500,52655744.0
1000015255,2,2017-05-18 04:06:21.800,52656160.0
1000015256,2,2017-05-18 04:21:21.500,52656576.0
1000015257,2,2017-05-18 04:36:21.700,52656992.0
1000015258,2,2017-05-18 04:51:21.900,52657404.0
1000015259,2,2017-05-18 05:06:22.200,52657820.0
1000015260,2,2017-05-18 05:21:22.300,52658236.0
1000015261,2,2017-05-18 05:36:22.300,52658652.0
1000015262,2,2017-05-18 05:51:22.600,52659064.0
1000015263,2,2017-05-18 06:06:22.600,52659480.0
1000015264,2,2017-05-18 06:21:22.800,52659896.0
1000015265,2,2017-05-18 06:36:23.000,52660312.0
1000015266,2,2017-05-18 06:51:23.000,52660592.0
1000015267,2,2017-05-18 07:06:23.000,52660592.0
1000015268,2,2017-05-18 07:21:23.500,52660948.0
1000015269,2,2017-05-18 07:36:23.700,52661364.0
1000015270,2,2017-05-18 07:51:24.000,52661780.0
1000015271,2,2017-05-18 08:06:24.100,52661980.0
1000015272,2,2017-05-18 08:21:23.900,52662116.0
1000015273,2,2017-05-18 08:36:24.100,52662532.0
1000015274,2,2017-05-18 08:51:24.500,52662944.0
1000015275,2,2017-05-18 09:06:24.600,52663360.0
1000015276,2,2017-05-18 09:21:25.200,52663772.0
1000015277,2,2017-05-18 09:36:25.300,52664184.0
1000015278,2,2017-05-18 09:51:25.300,52664600.0
1000015279,2,2017-05-18 10:06:25.400,52665016.0
1000015280,2,2017-05-18 10:21:21.700,52665428.0
1000015281,2,2017-05-18 10:36:21.900,52665844.0
1000015282,2,2017-05-18 10:51:22.100,52666256.0
1000015283,2,2017-05-18 11:06:22.400,52666672.0
1000015284,2,2017-05-18 11:21:26.900,52667084.0
1000015285,2,2017-05-18 11:36:26.900,52667500.0
1000015286,2,2017-05-18 11:51:27.100,52667912.0
1000015287,2,2017-05-18 12:06:27.200,52668328.0
1000015288,2,2017-05-18 12:21:27.500,52668740.0
1000015289,2,2017-05-18 12:36:27.600,52669156.0
1000015290,2,2017-05-18 12:51:27.600,52669572.0
1000015291,2,2017-05-18 13:06:27.700,52669984.0
1000015292,2,2017-05-18 13:21:27.700,52670396.0
1000015293,2,2017-05-18 13:36:27.900,52670808.0
1000015294,2,2017-05-18 13:51:27.800,52671224.0
1000015295,2,2017-05-18 14:06:28.100,52671636.0
1000015296,2,2017-05-18 14:21:27.700,52672048.0
1000015297,2,2017-05-18 14:36:27.700,52672460.0
1000015298,2,2017-05-18 14:51:27.900,52672872.0
1000015299,2,2017-05-18 15:06:28.300,52673284.0
1000015300,2,2017-05-18 15:21:28.900,52673696.0
