seq,t,ts,v
1000015143,2,2017-05-17 00:05:57.000,194565.0
1000015144,2,2017-05-17 00:20:57.400,194565.0
1000015145,2,2017-05-17 00:35:57.700,194565.0
1000015146,2,2017-05-17 00:50:57.900,194566.0
1000015147,2,2017-05-17 01:05:58.000,194566.0
1000015148,2,2017-05-17 01:20:58.100,194566.0
1000015149,2,2017-05-17 01:35:58.100,194567.0
1000015150,2,2017-05-17 01:50:58.400,194567.0
1000015151,2,2017-05-17 02:05:58.400,194567.0
1000015152,2,2017-05-17 02:20:58.800,194568.0
1000015153,2,2017-05-17 02:35:58.900,194568.0
1000015154,2,2017-05-17 02:50:59.000,194568.0
1000015155,2,2017-05-17 03:05:59.100,194569.0
1000015156,2,2017-05-17 03:20:59.200,194569.0
1000015157,2,2017-05-17 03:35:59.400,194569.0
1000015158,2,2017-05-17 03:50:59.500,194570.0
1000015159,2,2017-05-17 04:05:59.700,194570.0
1000015160,2,2017-05-17 04:21:00.200,194570.0
1000015161,2,2017-05-17 04:36:00.300,194571.0
1000015162,2,2017-05-17 04:51:00.500,194571.0
1000015163,2,2017-05-17 05:06:00.800,194571.0
1000015164,2,2017-05-17 05:21:04.800,194572.0
1000015165,2,2017-05-17 05:36:05.000,194572.0
1000015166,2,2017-05-17 05:51:05.200,194572.0
1000015167,2,2017-05-17 06:06:05.200,194573.0
1000015168,2,2017-05-17 06:21:05.400,194573.0
1000015169,2,2017-05-17 06:36:05.600,194574.0
1000015170,2,2017-05-17 06:51:05.700,194574.0
1000015171,2,2017-05-17 07:06:05.800,194574.0
1000015172,2,2017-05-17 07:21:06.000,194575.0
1000015173,2,2017-05-17 07:36:05.900,194575.0
1000015174,2,2017-05-17 07:51:06.200,194575.0
1000015175,2,2017-05-17 08:06:06.100,194576.0
1000015176,2,2017-05-17 08:21:06.400,194576.0
1000015177,2,2017-05-17 08:36:06.400,194576.0
1000015178,2,2017-05-17 08:51:06.800,194577.0
1000015179,2,2017-05-17 09:06:07.100,194577.0
1000015180,2,2017-05-17 09:21:05.800,194577.0
1000015181,2,2017-05-17 09:36:05.800,194578.0
1000015182,2,2017-05-17 09:51:06.000,194578.0
1000015183,2,2017-05-17 10:06:06.000,194578.0
1000015184,2,2017-05-17 10:21:07.500,194579.0
1000015185,2,2017-05-17 10:36:07.700,194579.0
1000015186,2,2017-05-17 10:51:07.800,194579.0
1000015187,2,2017-05-17 11:06:07.800,194580.0
1000015188,2,2017-05-17 11:21:08.100,194580.0
1000015189,2,2017-05-17 11:36:08.100,194580.0
1000015190,2,2017-05-17 11:51:08.300,194581.0
1000015191,2,2017-05-17 12:06:08.600,194581.0
1000015192,2,2017-05-17 12:21:08.600,194581.0
1000015193,2,2017-05-17 12:36:08.600,194582.0
1000015194,2,2017-05-17 12:51:08.700,194582.0
1000015195,2,2017-05-17 13:06:08.800,194582.0
1000015196,2,2017-05-17 13:21:08.400,194583.0
1000015197,2,2017-05-17 13:36:08.700,194583.0
1000015198,2,2017-05-17 13:51:08.700,194583.0
1000015199,2,2017-05-17 14:06:08.800,194584.0
1000015200,2,2017-05-17 14:21:08.900,194584.0
1000015201,2,2017-05-17 14:36:09.000,194584.0
1000015202,2,2017-05-17 14:51:09.000,194585.0
1000015203,2,2017-05-17 15:06:09.200,194585.0
1000015204,2,2017-05-17 15:21:09.800,194586.0
1000015205,2,2017-05-17 15:36:09.800,194586.0
1000015206,2,2017-05-17 15:51:09.900,194586.0
1000015207,2,2017-05-17 16:06:10.000,194587.0
1000015208,2,2017-05-17 16:21:10.200,194587.0
1000015209,2,2017-05-17 16:36:10.400,194587.0
1000015210,2,2017-05-17 16:51:10.700,194588.0
1000015211,2,2017-05-17 17:06:11.000,194588.0
1000015212,2,2017-05-17 17:21:11.100,194588.0
1000015213,2,2017-05-17 17:36:11.300,194589.0
1000015214,2,2017-05-17 17:51:11.400,194589.0
1000015215,2,2017-05-17 18:06:11.700,194589.0
1000015216,2,2017-05-17 18:21:11.900,194590.0
1000015217,2,2017-05-17 18:36:12.200,194590.0
1000015218,2,2017-05-17 18:51:12.100,194590.0
1000015219,2,2017-05-17 19:06:12.100,194591.0
1000015220,2,2017-05-17 19:21:11.900,194591.0
1000015221,2,2017-05-17 19:36:12.000,194591.0
1000015222,2,2017-05-17 19:51:12.100,194592.0
1000015223,2,2017-05-17 20:06:12.300,194592.0
1000015224,2,2017-05-17 20:21:12.300,194592.0
1000015225,2,2017-05-17 20:36:12.600,194593.0
1000015226,2,2017-05-17 20:51:12.800,194593.0
1000015227,2,2017-05-17 21:06:12.800,194593.0
