seq,t,ts,v
1000015143,2,2017-05-17 00:05:59.900,68168.2
1000015144,2,2017-05-17 00:21:00.000,68169.3
1000015145,2,2017-05-17 00:36:00.200,68170.5
1000015146,2,2017-05-17 00:51:00.400,68171.6
1000015147,2,2017-05-17 01:06:00.600,68172.8
1000015148,2,2017-05-17 01:21:00.700,68173.9
1000015149,2,2017-05-17 01:36:00.700,68175.1
1000015150,2,2017-05-17 01:51:00.700,68176.2
1000015151,2,2017-05-17 02:06:01.000,68177.4
1000015152,2,2017-05-17 02:21:01.300,68178.5
1000015153,2,2017-05-17 02:36:01.400,68179.6
1000015154,2,2017-05-17 02:51:01.500,68180.8
1000015155,2,2017-05-17 03:06:01.600,68181.9
1000015156,2,2017-05-17 03:21:01.800,68183.1
1000015157,2,2017-05-17 03:36:02.000,68184.2
1000015158,2,2017-05-17 03:51:02.100,68185.4
1000015159,2,2017-05-17 04:06:02.200,68186.5
1000015160,2,2017-05-17 04:21:02.400,68187.7
1000015161,2,2017-05-17 04:36:02.400,68188.8
1000015162,2,2017-05-17 04:51:02.600,68190.0
1000015163,2,2017-05-17 05:06:02.900,68191.1
1000015164,2,2017-05-17 05:21:06.900,68192.2
1000015165,2,2017-05-17 05:36:07.200,68193.4
1000015166,2,2017-05-17 05:51:07.400,68194.5
1000015167,2,2017-05-17 06:06:07.500,68195.7
1000015168,2,2017-05-17 06:21:07.700,68196.8
1000015169,2,2017-05-17 06:36:07.900,68198.0
1000015170,2,2017-05-17 06:51:07.900,68199.1
1000015171,2,2017-05-17 07:06:08.000,68200.3
1000015172,2,2017-05-17 07:21:08.100,68201.4
1000015173,2,2017-05-17 07:36:08.200,68202.5
1000015174,2,2017-05-17 07:51:08.400,68203.7
1000015175,2,2017-05-17 08:06:08.400,68204.8
1000015176,2,2017-05-17 08:21:08.600,68206.0
1000015177,2,2017-05-17 08:36:08.700,68207.1
1000015178,2,2017-05-17 08:51:09.000,68208.3
1000015179,2,2017-05-17 09:06:09.400,68209.4
1000015180,2,2017-05-17 09:21:08.100,68210.6
1000015181,2,2017-05-17 09:36:08.200,68211.7
1000015182,2,2017-05-17 09:51:08.200,68212.9
1000015183,2,2017-05-17 10:06:08.300,68214.0
1000015184,2,2017-05-17 10:21:09.700,68215.1
1000015185,2,2017-05-17 10:36:09.900,68216.3
1000015186,2,2017-05-17 10:51:10.100,68217.4
1000015187,2,2017-05-17 11:06:10.400,68218.6
1000015188,2,2017-05-17 11:21:10.800,68219.7
1000015189,2,2017-05-17 11:36:10.800,68220.9
1000015190,2,2017-05-17 11:51:11.000,68222.0
1000015191,2,2017-05-17 12:06:11.300,68223.2
1000015192,2,2017-05-17 12:21:11.600,68224.3
1000015193,2,2017-05-17 12:36:11.600,68225.4
1000015194,2,2017-05-17 12:51:11.600,68226.6
1000015195,2,2017-05-17 13:06:11.800,68227.7
1000015196,2,2017-05-17 13:21:11.700,68228.9
1000015197,2,2017-05-17 13:36:11.700,68230.0
1000015198,2,2017-05-17 13:51:12.100,68231.2
1000015199,2,2017-05-17 14:06:12.200,68232.3
1000015200,2,2017-05-17 14:21:12.300,68233.5
1000015201,2,2017-05-17 14:36:12.400,68234.6
1000015202,2,2017-05-17 14:51:12.600,68235.8
1000015203,2,2017-05-17 15:06:12.600,68236.9
1000015204,2,2017-05-17 15:21:13.200,68238.0
1000015205,2,2017-05-17 15:36:13.200,68239.2
1000015206,2,2017-05-17 15:51:13.300,68240.3
1000015207,2,2017-05-17 16:06:13.300,68241.5
1000015208,2,2017-05-17 16:21:13.500,68242.6
1000015209,2,2017-05-17 16:36:13.700,68243.8
1000015210,2,2017-05-17 16:51:14.000,68244.9
1000015211,2,2017-05-17 17:06:14.000,68246.1
1000015212,2,2017-05-17 17:21:14.100,68247.2
