seq,t,ts,v
1000044426,2,2017-05-17 00:00:00.000,101.7
1000044427,2,2017-05-17 00:05:00.000,101.7
1000044428,2,2017-05-17 00:10:00.100,101.7
1000044429,2,2017-05-17 00:15:00.200,101.7
1000044430,2,2017-05-17 00:20:00.000,101.7
1000044431,2,2017-05-17 00:25:00.200,101.7
1000044432,2,2017-05-17 00:30:00.100,101.7
1000044433,2,2017-05-17 00:35:00.200,101.7
1000044434,2,2017-05-17 00:40:00.200,101.7
1000044435,2,2017-05-17 00:45:00.300,101.7
1000044436,2,2017-05-17 00:50:00.100,101.7
1000044437,2,2017-05-17 00:55:00.400,101.7
1000044438,2,2017-05-17 01:00:00.000,101.7
1000044439,2,2017-05-17 01:05:00.300,101.7
1000044440,2,2017-05-17 01:10:00.300,101.7
1000044441,2,2017-05-17 01:15:00.300,101.7
1000044442,2,2017-05-17 01:20:00.100,101.7
1000044443,2,2017-05-17 01:25:00.300,101.7
1000044444,2,2017-05-17 01:30:00.100,101.7
1000044445,2,2017-05-17 01:35:00.100,101.7
1000044446,2,2017-05-17 01:40:00.200,101.7
1000044447,2,2017-05-17 01:45:00.000,101.7
1000044448,2,2017-05-17 01:50:00.300,101.7
1000044449,2,2017-05-17 01:55:00.000,101.7
1000044450,2,2017-05-17 02:00:00.000,101.7
1000044451,2,2017-05-17 02:05:00.000,101.7
1000044452,2,2017-05-17 02:10:00.000,101.7
1000044453,2,2017-05-17 02:15:00.100,101.7
1000044454,2,2017-05-17 02:20:00.200,101.7
1000044455,2,2017-05-17 02:25:00.100,101.7
1000044456,2,2017-05-17 02:30:00.000,101.7
1000044457,2,2017-05-17 02:35:00.000,101.7
1000044458,2,2017-05-17 02:40:00.300,101.7
1000044459,2,2017-05-17 02:45:00.200,101.7
1000044460,2,2017-05-17 02:50:00.000,101.7
1000044461,2,2017-05-17 02:55:00.200,101.7
1000044462,2,2017-05-17 03:00:00.100,101.7
1000044463,2,2017-05-17 03:05:00.100,101.7
