seq,t,ts,v
1000044426,2,2017-05-17 00:00:00.000,1878556.0
1000044427,2,2017-05-17 00:05:00.000,1878558.0
1000044428,2,2017-05-17 00:10:00.100,1878561.0
1000044429,2,2017-05-17 00:15:00.200,1878563.0
1000044430,2,2017-05-17 00:20:00.000,1878565.0
1000044431,2,2017-05-17 00:25:00.200,1878568.0
1000044432,2,2017-05-17 00:30:00.100,1878570.0
1000044433,2,2017-05-17 00:35:00.100,1878572.0
1000044434,2,2017-05-17 00:40:00.100,1878575.0
1000044435,2,2017-05-17 00:45:00.300,1878577.0
1000044436,2,2017-05-17 00:50:00.100,1878579.0
1000044437,2,2017-05-17 00:55:00.300,1878582.0
1000044438,2,2017-05-17 01:00:00.000,1878584.0
1000044439,2,2017-05-17 01:05:00.200,1878587.0
1000044440,2,2017-05-17 01:10:00.300,1878589.0
1000044441,2,2017-05-17 01:15:00.200,1878591.0
1000044442,2,2017-05-17 01:20:00.000,1878594.0
1000044443,2,2017-05-17 01:25:00.200,1878596.0
1000044444,2,2017-05-17 01:30:00.100,1878598.0
1000044445,2,2017-05-17 01:35:00.100,1878601.0
1000044446,2,2017-05-17 01:40:00.100,1878603.0
1000044447,2,2017-05-17 01:45:00.000,1878606.0
1000044448,2,2017-05-17 01:50:00.300,1878608.0
1000044449,2,2017-05-17 01:55:00.000,1878610.0
1000044450,2,2017-05-17 02:00:00.300,1878613.0
1000044451,2,2017-05-17 02:05:00.000,1878615.0
1000044452,2,2017-05-17 02:10:00.300,1878617.0
1000044453,2,2017-05-17 02:15:00.000,1878620.0
1000044454,2,2017-05-17 02:20:00.200,1878622.0
1000044455,2,2017-05-17 02:25:00.100,1878625.0
1000044456,2,2017-05-17 02:30:00.300,1878627.0
1000044457,2,2017-05-17 02:35:00.000,1878629.0
1000044458,2,2017-05-17 02:40:00.200,1878632.0
1000044459,2,2017-05-17 02:45:00.100,1878634.0
1000044460,2,2017-05-17 02:50:00.000,1878637.0
1000044461,2,2017-05-17 02:55:00.100,1878639.0
1000044462,2,2017-05-17 03:00:00.100,1878641.0
1000044463,2,2017-05-17 03:05:00.000,1878644.0
1000044464,2,2017-05-17 03:10:00.100,1878646.0
1000044465,2,2017-05-17 03:15:00.200,1878648.0
1000044466,2,2017-05-17 03:20:00.100,1878651.0
1000044467,2,2017-05-17 03:25:00.000,1878653.0
1000044468,2,2017-05-17 03:30:00.000,1878655.0
1000044469,2,2017-05-17 03:35:00.100,1878658.0
1000044470,2,2017-05-17 03:40:00.000,1878660.0
1000044471,2,2017-05-17 03:45:00.000,1878663.0
1000044472,2,2017-05-17 03:50:00.000,1878665.0
1000044473,2,2017-05-17 03:55:00.000,1878667.0
1000044474,2,2017-05-17 04:00:00.100,1878670.0
1000044475,2,2017-05-17 04:05:00.200,1878672.0
1000044476,2,2017-05-17 04:10:00.000,1878675.0
1000044477,2,2017-05-17 04:15:00.200,1878677.0
1000044478,2,2017-05-17 04:20:00.100,1878679.0
1000044479,2,2017-05-17 04:25:00.100,1878682.0
1000044480,2,2017-05-17 04:30:00.300,1878684.0
1000044481,2,2017-05-17 04:35:00.000,1878687.0
1000044482,2,2017-05-17 04:40:00.000,1878689.0
1000044483,2,2017-05-17 04:45:00.100,1878691.0
1000044484,2,2017-05-17 04:50:00.000,1878694.0
1000044485,2,2017-05-17 04:55:00.000,1878696.0
1000044486,2,2017-05-17 05:00:00.000,1878699.0
1000044487,2,2017-05-17 05:05:00.100,1878701.0
1000044488,2,2017-05-17 05:10:00.300,1878703.0
1000044489,2,2017-05-17 05:15:00.300,1878706.0
1000044490,2,2017-05-17 05:20:00.200,1878708.0
1000044491,2,2017-05-17 05:25:00.200,1878711.0
1000044492,2,2017-05-17 05:30:00.200,1878713.0
1000044493,2,2017-05-17 05:35:00.000,1878715.0
1000044494,2,2017-05-17 05:40:00.000,1878718.0
1000044495,2,2017-05-17 05:45:00.000,1878720.0
1000044496,2,2017-05-17 05:50:00.000,1878722.0
1000044497,2,2017-05-17 05:55:00.000,1878725.0
1000044498,2,2017-05-17 06:00:00.000,1878727.0
1000044499,2,2017-05-17 06:05:00.100,1878730.0
1000044500,2,2017-05-17 06:10:00.200,1878732.0
1000044501,2,2017-05-17 06:15:00.200,1878735.0
1000044502,2,2017-05-17 06:20:00.100,1878737.0
1000044503,2,2017-05-17 06:25:00.100,1878739.0
1000044504,2,2017-05-17 06:30:00.000,1878741.0
1000044505,2,2017-05-17 06:35:00.000,1878744.0
1000044506,2,2017-05-17 06:40:00.200,1878746.0
1000044507,2,2017-05-17 06:45:00.000,1878748.0
1000044508,2,2017-05-17 06:50:00.000,1878751.0
1000044509,2,2017-05-17 06:55:00.000,1878753.0
1000044510,2,2017-05-17 07:00:00.100,1878755.0
1000044511,2,2017-05-17 07:05:00.100,1878758.0
1000044512,2,2017-05-17 07:10:00.300,1878760.0
1000044513,2,2017-05-17 07:15:00.000,1878762.0
1000044514,2,2017-05-17 07:20:00.100,1878765.0
1000044515,2,2017-05-17 07:25:00.200,1878767.0
1000044516,2,2017-05-17 07:30:00.300,1878769.0
1000044517,2,2017-05-17 07:35:00.100,1878771.0
1000044518,2,2017-05-17 07:40:00.200,1878774.0
1000044519,2,2017-05-17 07:45:00.000,1878776.0
1000044520,2,2017-05-17 07:50:00.100,1878778.0
1000044521,2,2017-05-17 07:55:00.000,1878781.0
1000044522,2,2017-05-17 08:00:00.100,1878783.0
1000044523,2,2017-05-17 08:05:00.200,1878785.0
1000044524,2,2017-05-17 08:10:00.000,1878788.0
1000044525,2,2017-05-17 08:15:00.100,1878790.0
1000044526,2,2017-05-17 08:20:00.000,1878792.0
1000044527,2,2017-05-17 08:25:00.200,1878795.0
1000044528,2,2017-05-17 08:30:00.200,1878797.0
1000044529,2,2017-05-17 08:35:00.000,1878799.0
1000044530,2,2017-05-17 08:40:00.200,1878802.0
1000044531,2,2017-05-17 08:45:00.100,1878804.0
1000044532,2,2017-05-17 08:50:00.100,1878806.0
1000044533,2,2017-05-17 08:55:00.100,1878809.0
1000044534,2,2017-05-17 09:00:00.200,1878811.0
1000044535,2,2017-05-17 09:05:00.100,1878813.0
1000044536,2,2017-05-17 09:10:00.100,1878816.0
1000044537,2,2017-05-17 09:15:00.100,1878818.0
1000044538,2,2017-05-17 09:20:00.200,1878820.0
1000044539,2,2017-05-17 09:25:00.200,1878823.0
1000044540,2,2017-05-17 09:30:00.100,1878825.0
1000044541,2,2017-05-17 09:35:00.200,1878827.0
1000044542,2,2017-05-17 09:40:00.000,1878830.0
1000044543,2,2017-05-17 09:45:00.000,1878832.0
1000044544,2,2017-05-17 09:50:00.000,1878834.0
1000044545,2,2017-05-17 09:55:00.000,1878837.0
1000044546,2,2017-05-17 10:00:00.200,1878840.0
1000044547,2,2017-05-17 10:05:00.100,1878843.0
1000044548,2,2017-05-17 10:10:00.000,1878845.0
1000044549,2,2017-05-17 10:15:00.100,1878848.0
1000044550,2,2017-05-17 10:20:00.200,1878851.0
1000044551,2,2017-05-17 10:25:00.300,1878853.0
1000044552,2,2017-05-17 10:30:00.000,1878856.0
1000044553,2,2017-05-17 10:35:00.000,1878859.0
1000044554,2,2017-05-17 10:40:00.000,1878862.0
1000044555,2,2017-05-17 10:45:00.100,1878864.0
1000044556,2,2017-05-17 10:50:00.200,1878867.0
1000044557,2,2017-05-17 10:55:00.100,1878870.0
1000044558,2,2017-05-17 11:00:00.100,1878873.0
1000044559,2,2017-05-17 11:05:00.100,1878875.0
1000044560,2,2017-05-17 11:10:00.200,1878878.0
1000044561,2,2017-05-17 11:15:00.200,1878881.0
1000044562,2,2017-05-17 11:20:00.200,1878884.0
1000044563,2,2017-05-17 11:25:00.100,1878886.0
1000044564,2,2017-05-17 11:30:00.000,1878889.0
1000044565,2,2017-05-17 11:35:00.000,1878892.0
1000044566,2,2017-05-17 11:40:00.100,1878895.0
1000044567,2,2017-05-17 11:45:00.100,1878897.0
1000044568,2,2017-05-17 11:50:00.200,1878900.0
1000044569,2,2017-05-17 11:55:00.100,1878903.0
1000044570,2,2017-05-17 12:00:00.100,1878906.0
1000044571,2,2017-05-17 12:05:00.200,1878908.0
