seq,t,ts,v
1000044426,2,2017-05-17 00:00:00.000,1212841.0
1000044427,2,2017-05-17 00:05:00.000,1212842.0
1000044428,2,2017-05-17 00:10:00.100,1212843.0
1000044429,2,2017-05-17 00:15:00.200,1212845.0
1000044430,2,2017-05-17 00:20:00.000,1212846.0
1000044431,2,2017-05-17 00:25:00.200,1212847.0
1000044432,2,2017-05-17 00:30:00.100,1212848.0
1000044433,2,2017-05-17 00:35:00.100,1212849.0
1000044434,2,2017-05-17 00:40:00.100,1212850.0
1000044435,2,2017-05-17 00:45:00.300,1212851.0
1000044436,2,2017-05-17 00:50:00.100,1212851.0
1000044437,2,2017-05-17 00:55:00.400,1212852.0
1000044438,2,2017-05-17 01:00:00.000,1212853.0
1000044439,2,2017-05-17 01:05:00.300,1212854.0
1000044440,2,2017-05-17 01:10:00.300,1212855.0
1000044441,2,2017-05-17 01:15:00.300,1212856.0
1000044442,2,2017-05-17 01:20:00.100,1212857.0
1000044443,2,2017-05-17 01:25:00.200,1212858.0
1000044444,2,2017-05-17 01:30:00.100,1212859.0
1000044445,2,2017-05-17 01:35:00.100,1212860.0
1000044446,2,2017-05-17 01:40:00.200,1212861.0
1000044447,2,2017-05-17 01:45:00.000,1212862.0
1000044448,2,2017-05-17 01:50:00.300,1212863.0
1000044449,2,2017-05-17 01:55:00.000,1212864.0
1000044450,2,2017-05-17 02:00:00.300,1212865.0
1000044451,2,2017-05-17 02:05:00.000,1212865.0
1000044452,2,2017-05-17 02:10:00.300,1212867.0
1000044453,2,2017-05-17 02:15:00.000,1212868.0
1000044454,2,2017-05-17 02:20:00.200,1212869.0
1000044455,2,2017-05-17 02:25:00.100,1212870.0
1000044456,2,2017-05-17 02:30:00.000,1212871.0
1000044457,2,2017-05-17 02:35:00.000,1212872.0
1000044458,2,2017-05-17 02:40:00.200,1212873.0
1000044459,2,2017-05-17 02:45:00.100,1212874.0
1000044460,2,2017-05-17 02:50:00.000,1212874.0
1000044461,2,2017-05-17 02:55:00.100,1212875.0
1000044462,2,2017-05-17 03:00:00.100,1212876.0
1000044463,2,2017-05-17 03:05:00.000,1212877.0
1000044464,2,2017-05-17 03:10:00.100,1212878.0
1000044465,2,2017-05-17 03:15:00.200,1212879.0
1000044466,2,2017-05-17 03:20:00.100,1212880.0
1000044467,2,2017-05-17 03:25:00.000,1212881.0
1000044468,2,2017-05-17 03:30:00.100,1212882.0
1000044469,2,2017-05-17 03:35:00.100,1212883.0
1000044470,2,2017-05-17 03:40:00.000,1212884.0
1000044471,2,2017-05-17 03:45:00.000,1212885.0
1000044472,2,2017-05-17 03:50:00.000,1212886.0
1000044473,2,2017-05-17 03:55:00.100,1212887.0
1000044474,2,2017-05-17 04:00:00.100,1212888.0
