seq,t,ts,v
1000044624,2,2017-05-17 00:00:00.300,2342976.75
1000044625,2,2017-05-17 00:05:00.100,2342976.75
1000044626,2,2017-05-17 00:10:00.100,2342976.75
1000044627,2,2017-05-17 00:15:00.100,2342976.75
1000044628,2,2017-05-17 00:20:00.000,2342976.75
1000044629,2,2017-05-17 00:25:00.500,2342976.75
1000044630,2,2017-05-17 00:30:00.100,2342976.75
1000044631,2,2017-05-17 00:35:00.300,2342976.75
1000044632,2,2017-05-17 00:40:00.400,2342976.75
1000044633,2,2017-05-17 00:45:00.200,2342976.75
1000044634,2,2017-05-17 00:50:00.100,2342976.75
1000044635,2,2017-05-17 00:55:00.200,2342976.75
1000044636,2,2017-05-17 01:00:00.200,2342976.75
1000044637,2,2017-05-17 01:05:00.000,2342976.75
1000044638,2,2017-05-17 01:10:00.400,2342976.75
1000044639,2,2017-05-17 01:15:00.000,2342976.75
1000044640,2,2017-05-17 01:20:00.400,2342976.75
1000044641,2,2017-05-17 01:25:00.200,2342976.75
1000044642,2,2017-05-17 01:30:00.300,2342976.75
1000044643,2,2017-05-17 01:35:00.500,2342976.75
1000044644,2,2017-05-17 01:40:00.200,2342976.75
1000044645,2,2017-05-17 01:45:00.400,2342976.75
1000044646,2,2017-05-17 01:50:00.300,2342976.75
1000044647,2,2017-05-17 01:55:00.100,2342976.75
1000044648,2,2017-05-17 02:00:00.100,2342976.75
1000044649,2,2017-05-17 02:05:00.400,2342976.75
1000044650,2,2017-05-17 02:10:00.100,2342976.75
1000044651,2,2017-05-17 02:15:00.200,2342976.75
1000044652,2,2017-05-17 02:20:00.300,2342976.75
1000044653,2,2017-05-17 02:25:00.400,2342976.75
1000044654,2,2017-05-17 02:30:00.200,2342976.75
1000044655,2,2017-05-17 02:35:00.400,2342976.75
1000044656,2,2017-05-17 02:40:00.000,2342976.75
1000044657,2,2017-05-17 02:45:00.300,2342976.75
1000044658,2,2017-05-17 02:50:00.200,2342976.75
1000044659,2,2017-05-17 02:55:00.400,2342976.75
1000044660,2,2017-05-17 03:00:00.000,2342976.75
1000044661,2,2017-05-17 03:05:00.300,2342976.75
1000044662,2,2017-05-17 03:10:00.300,2342976.75
1000044663,2,2017-05-17 03:15:00.300,2342976.75
1000044664,2,2017-05-17 03:20:00.200,2342976.75
1000044665,2,2017-05-17 03:25:00.000,2342976.75
1000044666,2,2017-05-17 03:30:00.100,2342976.75
1000044667,2,2017-05-17 03:35:00.000,2342976.75
1000044668,2,2017-05-17 03:40:00.100,2342976.75
1000044669,2,2017-05-17 03:45:00.300,2342976.75
1000044670,2,2017-05-17 03:50:00.200,2342976.75
1000044671,2,2017-05-17 03:55:00.000,2342976.75
1000044672,2,2017-05-17 04:00:00.300,2342976.75
1000044673,2,2017-05-17 04:05:00.400,2342976.75
1000044674,2,2017-05-17 04:10:00.200,2342976.75
1000044675,2,2017-05-17 04:15:00.200,2342976.75
1000044676,2,2017-05-17 04:20:00.000,2342976.75
1000044677,2,2017-05-17 04:25:00.000,2342976.75
1000044678,2,2017-05-17 04:30:00.400,2342976.75
1000044679,2,2017-05-17 04:35:00.300,2342976.75
1000044680,2,2017-05-17 04:40:00.100,2342976.75
1000044681,2,2017-05-17 04:45:00.100,2342976.75
1000044682,2,2017-05-17 04:50:00.200,2342976.75
1000044683,2,2017-05-17 04:55:00.300,2342976.75
1000044684,2,2017-05-17 05:00:00.000,2342976.75
1000044685,2,2017-05-17 05:05:00.000,2342976.75
1000044686,2,2017-05-17 05:10:00.000,2342976.75
1000044687,2,2017-05-17 05:15:00.400,2342976.75
1000044688,2,2017-05-17 05:20:00.200,2342976.75
1000044689,2,2017-05-17 05:25:00.200,2342976.75
1000044690,2,2017-05-17 05:30:00.400,2342976.75
1000044691,2,2017-05-17 05:35:00.100,2342976.75
1000044692,2,2017-05-17 05:40:00.200,2342976.75
1000044693,2,2017-05-17 05:45:00.200,2342976.75
1000044694,2,2017-05-17 05:50:00.100,2342976.75
