seq,t,ts,v
1000050499,2,2017-05-17 00:00:00.000,4665000.0
1000050500,2,2017-05-17 00:05:00.000,4665000.0
1000050501,2,2017-05-17 00:10:00.000,4665000.0
1000050502,2,2017-05-17 00:15:00.000,4665000.0
1000050503,2,2017-05-17 00:20:00.000,4665000.0
1000050504,2,2017-05-17 00:25:00.000,4665000.0
1000050505,2,2017-05-17 00:30:00.000,4665000.0
1000050506,2,2017-05-17 00:35:00.000,4665000.0
1000050507,2,2017-05-17 00:40:00.000,4665000.0
1000050508,2,2017-05-17 00:45:00.000,4665000.0
1000050509,2,2017-05-17 00:50:00.000,4665000.0
1000050510,2,2017-05-17 00:55:00.000,4665000.0
1000050511,2,2017-05-17 01:00:00.000,4665000.0
1000050512,2,2017-05-17 01:05:00.000,4665000.0
1000050513,2,2017-05-17 01:10:00.000,4665000.0
1000050514,2,2017-05-17 01:15:00.000,4665000.0
1000050515,2,2017-05-17 01:20:00.000,4665000.0
1000050516,2,2017-05-17 01:25:00.000,4665000.0
1000050517,2,2017-05-17 01:30:00.000,4665000.0
1000050518,2,2017-05-17 01:35:00.000,4665000.0
1000050519,2,2017-05-17 01:40:00.000,4665000.0
1000050520,2,2017-05-17 01:45:00.000,4665000.0
1000050521,2,2017-05-17 01:50:00.000,4665000.0
1000050522,2,2017-05-17 01:55:00.000,4665000.0
1000050523,2,2017-05-17 02:00:00.000,4665000.0
1000050524,2,2017-05-17 02:05:00.000,4665000.0
1000050525,2,2017-05-17 02:10:00.000,4665000.0
1000050526,2,2017-05-17 02:15:00.000,4665000.0
1000050527,2,2017-05-17 02:20:00.000,4665000.0
1000050528,2,2017-05-17 02:25:00.000,4665000.0
1000050529,2,2017-05-17 02:30:00.000,4665000.0
1000050530,2,2017-05-17 02:35:00.000,4665000.0
1000050531,2,2017-05-17 02:40:00.000,4665000.0
1000050532,2,2017-05-17 02:45:00.000,4665000.0
1000050533,2,2017-05-17 02:50:00.000,4665000.0
1000050534,2,2017-05-17 02:55:00.000,4665000.0
1000050535,2,2017-05-17 03:00:00.000,4665000.0
1000050536,2,2017-05-17 03:05:00.000,4665000.0
1000050537,2,2017-05-17 03:10:00.000,4665000.0
1000050538,2,2017-05-17 03:15:00.000,4665000.0
1000050539,2,2017-05-17 03:20:00.000,4665000.0
1000050540,2,2017-05-17 03:25:00.000,4665000.0
1000050541,2,2017-05-17 03:30:00.000,4665000.0
1000050542,2,2017-05-17 03:35:00.000,4665000.0
1000050543,2,2017-05-17 03:40:00.000,4665000.0
1000050544,2,2017-05-17 03:45:00.000,4665000.0
1000050545,2,2017-05-17 03:50:00.000,4665000.0
1000050546,2,2017-05-17 03:55:00.000,4665000.0
1000050547,2,2017-05-17 04:00:00.000,4665000.0
1000050548,2,2017-05-17 04:05:00.000,4665000.0
1000050549,2,2017-05-17 04:10:00.000,4665000.0
1000050550,2,2017-05-17 04:15:00.000,4665000.0
1000050551,2,2017-05-17 04:20:00.000,4665000.0
1000050552,2,2017-05-17 04:25:00.000,4665000.0
1000050553,2,2017-05-17 04:30:00.000,4665000.0
1000050554,2,2017-05-17 04:35:00.000,4665000.0
1000050555,2,2017-05-17 04:40:00.000,4665000.0
1000050556,2,2017-05-17 04:45:00.000,4665000.0
1000050557,2,2017-05-17 04:50:00.000,4665000.0
1000050558,2,2017-05-17 04:55:00.000,4665000.0
1000050559,2,2017-05-17 05:00:00.000,4665000.0
1000050560,2,2017-05-17 05:05:00.000,4665000.0
1000050561,2,2017-05-17 05:10:00.000,4665000.0
1000050562,2,2017-05-17 05:15:00.000,4665000.0
1000050563,2,2017-05-17 05:20:00.000,4665000.0
1000050564,2,2017-05-17 05:25:00.000,4665000.0
1000050565,2,2017-05-17 05:30:00.000,4665000.0
1000050566,2,2017-05-17 05:35:00.000,4665000.0
1000050567,2,2017-05-17 05:40:00.000,4665000.0
1000050568,2,2017-05-17 05:45:00.000,4665000.0
